parameter,Name,Value,Robust std err.,Robust t-stat.,Robust p-value,city,spec
0,asc_pt,1.2887817322980017,0.29412731533202724,4.381713853550641,1.1774939018494024e-05,London,exp_a_base
1,b_time_pt,0.03766904497809524,0.0029907232875769738,12.59529597223753,0.0,London,exp_a_base
2,b_income_pt,0.053577763033300516,0.02741695669351062,1.9541834504914966,0.05067952578039758,London,exp_a_base
3,b_age_pt,-0.5340030244525623,0.033820393042387,-15.789379614343863,0.0,London,exp_a_base
4,b_gender_pt,0.7449256982890192,0.08300139511775853,8.974857557901927,0.0,London,exp_a_base
5,asc_bike,-0.18245010644166704,0.5166094695244114,-0.3531683354732732,0.7239622449099694,London,exp_a_base
6,b_time_bike,0.022192718515050194,0.004789055038265927,4.6340495855077855,3.5858104507902056e-06,London,exp_a_base
7,b_income_bike,0.3424582203514841,0.05183331466392249,6.606913383253977,3.924149893919093e-11,London,exp_a_base
8,b_age_bike,-0.25902313738597615,0.04911069272341152,-5.274271711962585,1.3328431380799088e-07,London,exp_a_base
9,b_gender_bike,-0.14563157498793103,0.13990191420446177,-1.0409548419408727,0.29789650707286874,London,exp_a_base
10,b_dist_bike,-0.14770049253553272,0.01210608944195313,-12.200512249949437,0.0,London,exp_a_base
