PSUID,SurveyYear,SurveyYear_B01ID,PSUGOR_B02ID,PSUStatsReg_B01ID,PSUCountry_B01ID
2023000061,2023,29,-10,10,-10
2023000304,2023,29,-10,11,-10
2023000125,2023,29,-10,12,-10
2023000362,2023,29,-10,8,-10
2023000078,2023,29,-10,12,-10
2023000332,2023,29,-10,1,-10
2023000155,2023,29,-10,2,-10
2023000459,2023,29,-10,11,-10
2023000585,2023,29,-10,9,-10
2023000273,2023,29,-10,8,-10
2023000777,2023,29,-10,8,-10
2023000835,2023,29,-10,12,-10
2023000883,2023,29,-10,3,-10
2023000422,2023,29,-10,11,-10
2023000326,2023,29,-10,13,-10
2023000420,2023,29,-10,12,-10
2023000830,2023,29,-10,7,-10
2023000394,2023,29,-10,12,-10
2023000531,2023,29,-10,7,-10
2023000287,2023,29,-10,5,-10
